종목코드,종목명,시가총액
20560,아시아나항공,1.60E+12
85620,미래에셋생명,1.59E+12
34230,파라다이스,1.59E+12
7310,오뚜기,1.55E+12
500,가온전선,1.54E+12
161890,한국콜마,1.52E+12
484870,엠앤씨솔루션,1.50E+12
5070,코스모신소재,1.48E+12
77970,STX엔진,1.48E+12
1120,LX인터내셔널,1.46E+12
7340,DN오토모티브,1.42E+12
7810,코리아써키트,1.41E+12
3540,대신증권,1.38E+12
294870,HDC현대산업개발,1.35E+12
3090,대웅,1.32E+12
1800,오리온홀딩스,1.31E+12
51915,LG화학우,1.30E+12
5440,현대지에프홀딩스,1.30E+12
80,하이트진로,1.26E+12
249420,일동제약,1.26E+12
298020,효성티앤씨,1.26E+12
100090,SK오션플랜트,1.25E+12
71320,지역난방공사,1.24E+12
330590,롯데리츠,1.24E+12
300720,한일시멘트,1.24E+12
415640,KB발해인프라,1.22E+12
5300,롯데칠성,1.20E+12
120110,코오롱인더,1.19E+12
229640,LS에코에너지,1.18E+12
185750,종근당,1.17E+12
285130,SK케미칼,1.17E+12
30610,교보증권,1.16E+12
4000,롯데정밀화학,1.16E+12
815,삼성화재우,1.15E+12
75580,세진중공업,1.14E+12
6120,SK디스커버리,1.13E+12
82640,동양생명,1.11E+12
192080,더블유게임즈,1.09E+12
89860,롯데렌탈,1.09E+12
365550,ESR켄달스퀘어리츠,1.08E+12
3530,한화투자증권,1.07E+12
9240,한샘,1.05E+12
6650,대한유화,1.04E+12
137310,에스디바이오센서,1.03E+12
280360,롯데웰푸드,1.02E+12
181710,NHN,1.02E+12
1740,SK네트웍스,1.01E+12
12630,HDC,1.01E+12
79160,CJ CGV,1.00E+12
64960,SNT모티브,1.00E+12
192400,쿠쿠홀딩스,9.80E+11
30190,NICE평가정보,9.76E+11
00088K,한화3우B,9.62E+11
670,영풍,9.56E+11
298050,HS효성첨단소재,9.23E+11
36530,SNT홀딩스,9.21E+11
66575,LG전자우,8.97E+11
4490,세방전지,8.83E+11
317450,명인제약,8.76E+11
195870,해성디에스,8.69E+11
108320,LX세미콘,8.44E+11
114090,GKL,8.36E+11
3240,태광산업,8.35E+11
9450,경동나비엔,8.26E+11
499790,GS피앤엘,8.16E+11
93370,후성,8.11E+11
2350,넥센타이어,8.06E+11
71055,한국금융지주우,7.96E+11
3850,보령,7.93E+11
100840,SNT에너지,7.90E+11
3160,디아이,7.90E+11
281820,케이씨텍,7.88E+11
5690,파미셀,7.87E+11
451800,한화리츠,7.81E+11
3470,유안타증권,7.78E+11
210,DL,7.71E+11
7700,F&F홀딩스,7.69E+11
1680,대상,7.55E+11
69260,TKG휴켐스,7.49E+11
214320,이노션,7.47E+11
248070,솔루엠,7.41E+11
381970,케이카,7.39E+11
25540,한국단자,7.35E+11
5180,빙그레,7.26E+11
79900,전진건설로봇,7.26E+11
14820,동원시스템즈,7.22E+11
3620,KG모빌리티,7.20E+11
1060,JW중외제약,7.17E+11
39130,하나투어,7.05E+11
2840,미원상사,6.98E+11
5250,녹십자홀딩스,6.97E+11
10780,아이에스동서,6.90E+11
19170,신풍제약,6.84E+11
268280,미원에스씨,6.78E+11
293940,신한알파리츠,6.77E+11
950210,프레스티지바이오파마,6.74E+11
640,동아쏘시오홀딩스,6.73E+11
475150,SK이터닉스,6.73E+11
00104K,CJ4우(전환),6.70E+11
8730,율촌화학,6.70E+11
370,한화손해보험,6.63E+11
1270,부국증권,6.61E+11
57050,현대홈쇼핑,6.42E+11
1570,금양,6.33E+11
5389,현대차3우B,6.30E+11
383800,LX홀딩스,6.23E+11
456040,OCI,6.23E+11
6380,카프로,6.19E+11
322000,HD현대에너지솔루션,6.14E+11
5880,대한해운,6.06E+11
58650,세아홀딩스,6.02E+11
0120G0,삼양바이오팜,5.88E+11
2030,아세아,5.88E+11
2020,코오롱,5.81E+11
5420,코스모화학,5.77E+11
2240,고려제강,5.70E+11
105630,한세실업,5.70E+11
2960,한국쉘석유,5.67E+11
5810,풍산홀딩스,5.65E+11
17940,E1,5.60E+11
3545,대신증권우,5.58E+11
348950,제이알글로벌리츠,5.58E+11
90460,비에이치,5.49E+11
97520,엠씨넥스,5.46E+11
377740,바이오노트,5.30E+11
1500,현대차증권,5.27E+11
16380,KG스틸,5.24E+11
336370,솔루스첨단소재,5.24E+11
145720,덴티움,5.22E+11
400,롯데손해보험,5.17E+11
93050,LF,5.14E+11
91810,티웨이항공,5.14E+11
33240,자화전자,5.12E+11
16590,신대양제지,5.10E+11
4690,삼천리,5.09E+11
3030,세아제강지주,5.08E+11
284740,쿠쿠홈시스,5.03E+11
16800,퍼시스,5.00E+11
271940,일진하이솔루스,4.97E+11
453340,현대그린푸드,4.96E+11
192650,드림텍,4.96E+11
17810,풀무원,4.96E+11
9410,태영건설,4.90E+11
14830,유니드,4.87E+11
170900,동아에스티,4.84E+11
9900,명신산업,4.84E+11
3300,한일홀딩스,4.82E+11
94800,맵스리얼티,4.80E+11
34310,NICE,4.76E+11
145990,삼양사,4.75E+11
16610,DB증권,4.75E+11
90435,아모레퍼시픽우,4.70E+11
92200,디아이씨,4.70E+11
89590,제주항공,4.70E+11
29530,신도리코,4.67E+11
178920,PI첨단소재,4.61E+11
37270,YG PLUS,4.56E+11
4700,조광피혁,4.54E+11
70,삼양홀딩스,4.53E+11
650,천일고속,4.42E+11
448730,삼성FN리츠,4.41E+11
183190,아세아시멘트,4.36E+11
5610,SPC삼립,4.36E+11
6220,제주은행,4.34E+11
161000,애경케미칼,4.32E+11
60980,HL홀딩스,4.30E+11
105840,우진,4.29E+11
344820,KCC글라스,4.27E+11
357120,코람코라이프인프라리츠,4.26E+11
26890,스틱인베스트먼트,4.20E+11
200880,서연이화,4.20E+11
4310,현대약품,4.18E+11
460860,동국제강,4.10E+11
72710,농심홀딩스,4.07E+11
1530,DI동일,4.06E+11
452260,한화갤러리아,4.03E+11
403550,쏘카,4.02E+11
3280,흥아해운,3.93E+11
3000,부광약품,3.86E+11
5945,NH투자증권우,3.85E+11
157,두산2우B,3.85E+11
130660,한전산업,3.82E+11
126720,수산인더스트리,3.79E+11
31430,신세계인터내셔날,3.78E+11
15360,INVENI,3.78E+11
1940,KISCO홀딩스,3.76E+11
27410,BGF,3.74E+11
29460,케이씨,3.68E+11
6110,삼아알미늄,3.67E+11
2710,TCC스틸,3.67E+11
104700,한국철강,3.67E+11
272450,진에어,3.64E+11
9155,삼성전기우,3.59E+11
3520,영진약품,3.57E+11
475560,더본코리아,3.56E+11
417310,코람코더원리츠,3.55E+11
432320,KB스타리츠,3.54E+11
15860,일진홀딩스,3.51E+11
126560,현대퓨처넷,3.50E+11
1200,유진투자증권,3.47E+11
34120,SBS,3.42E+11
84690,대상홀딩스,3.40E+11
8060,대덕,3.39E+11
18250,애경산업,3.36E+11
17860,DS단석,3.36E+11
20000,한섬,3.35E+11
1510,SK증권,3.35E+11
306200,세아제강,3.34E+11
11930,신성이엔지,3.34E+11
3960,사조대림,3.31E+11
7690,국도화학,3.31E+11
286940,롯데이노베이트,3.30E+11
1390,KG케미칼,3.30E+11
9160,SIMPAC,3.29E+11
25860,남해화학,3.28E+11
217590,티엠씨,3.28E+11
194370,제이에스코퍼레이션,3.27E+11
24720,콜마홀딩스,3.24E+11
10690,화신,3.17E+11
2310,아세아제지,3.13E+11
12030,DB,3.12E+11
17390,서울가스,3.11E+11
5720,넥센,3.09E+11
3920,남양유업,3.07E+11
377190,디앤디플랫폼리츠,3.06E+11
138490,코오롱ENP,3.06E+11
9290,광동제약,3.06E+11
241590,화승엔터프라이즈,3.05E+11
490,대동,3.03E+11
34830,한국토지신탁,3.03E+11
1820,삼화콘덴서,3.03E+11
33270,유나이티드제약,3.03E+11
92230,KPX홀딩스,3.02E+11
5090,SGC에너지,3.02E+11
2320,한진,3.01E+11
88260,이리츠코크렙,3.01E+11
10580,에스엠벡셀,2.99E+11
123890,한국자산신탁,2.99E+11
33530,SJG세종,2.95E+11
680,LS네트웍스,2.95E+11
900140,엘브이엠씨홀딩스,2.95E+11
2810,삼영무역,2.93E+11
11760,현대코퍼레이션,2.92E+11
12200,계양전기,2.91E+11
6405,삼성SDI우,2.90E+11
334890,이지스밸류플러스리츠,2.88E+11
128820,대성산업,2.86E+11
3120,일성아이에스,2.85E+11
9680,모토닉,2.85E+11
3200,일신방직,2.84E+11
6340,대원전선,2.81E+11
7160,사조산업,2.79E+11
96760,JW홀딩스,2.75E+11
11500,한농화성,2.71E+11
0030R0,대신밸류리츠,2.71E+11
92790,넥스틸,2.70E+11
13890,지누스,2.70E+11
1460,BYC,2.68E+11
320,노루홀딩스,2.65E+11
4360,세방,2.64E+11
3220,대원제약,2.62E+11
430,대원강업,2.61E+11
35150,백산,2.60E+11
108670,LX하우시스,2.60E+11
122900,아이마켓코리아,2.58E+11
2900,TYM,2.58E+11
5500,삼진제약,2.57E+11
1630,종근당홀딩스,2.57E+11
1340,PKC,2.56E+11
02826K,삼성물산우B,2.51E+11
33920,무학,2.50E+11
37710,광주신세계,2.49E+11
7570,일양약품,2.49E+11
1790,대한제당,2.48E+11
58430,포스코스틸리온,2.48E+11
7860,서연,2.47E+11
78520,에이블씨엔씨,2.46E+11
226320,잇츠한불,2.46E+11
244920,에이플러스에셋,2.46E+11
84010,대한제강,2.42E+11
5950,이수화학,2.42E+11
1130,대한제분,2.39E+11
35510,신세계 I&C,2.38E+11
210980,SK디앤디,2.38E+11
1750,한양증권,2.37E+11
51905,LG생활건강우,2.37E+11
8490,서흥,2.34E+11
4980,성신양회,2.34E+11
50,경방,2.31E+11
10820,퍼스텍,2.30E+11
136490,선진,2.30E+11
53210,스카이라이프,2.29E+11
28100,동아지질,2.28E+11
1230,동국홀딩스,2.28E+11
